순번,행정구역,지역본부_지사,업소명,우편,주소
108,경기 남양주시,경기북부지사,(주)대원운수 진벌리CNG충전소,12021,경기도 남양주시 진접읍 경복대로 497
109,서울 성북구,서울동부지사,(주)예스코서비스 정릉2충전소,2700,서울특별시 성북구 보국문로 204
110,서울 도봉구,서울동부지사,강북씨앤지주식회사,1365,서울특별시 도봉구 삼양로 620
111,경기 안산시 상록구,경기서부지사,주식회사 스카이비(본오동),15559,경기도 안산시 상록구 오목로 156
112,전남 목포시,전남서부지사,(주)그린씨엔지,58606,전라남도 목포시 임성로 16
113,경남 진주시,경남서부지사,진양호씨엔지충전소,52648,경상남도 진주시 진양호로 1(판문동)
114,인천 서구,인천본부,세운산업(주)가좌CNG충전소,22848,인천광역시 서구 중봉대로 155
115,경기 성남시 분당구,경기동부지사,(주)경기고속분당CNG충전소,13636,경기도 성남시 분당구 성남대로43번길 30 (구미동)
116,경기 파주시,경기중부지사,주식회사 용성에너지,10867,경기도 파주시 교하로 1358
117,충북 청주시 서원구,충북본부,(주)대성티앤이미평CNG충전소,28635,충청북도 청주시 서원구 청남로 1919
118,서울 송파구,서울광역본부,코원에너지서비스(주)위례충전소,5844,서울특별시 송파구 헌릉로 869 일원 (위례택지개발지구 차1블럭)
119,경기 화성시,경기광역본부,현대자동차(주) 남양연구소 CNG충전소,18280,경기도 화성시 남양읍 현대연구소로 150
120,경기 의왕시,경기광역본부,삼영씨엔지주식회사,16107,경기도 의왕시 왕소나무길 29-15 충전소
121,경기 군포시,경기광역본부,군포시부곡버스공영차고지CNG충전소,15881,경기도 군포시 송부로 153(부곡동)
122,경기 군포시,경기광역본부,(주)삼천리이엔지 부곡(군포부곡씨엔지충전소),15879,경기도 군포시 번영로 179-46 공영차고지
123,경남 김해시,경남본부,(주)가야에너지 CNG충전소,50937,경상남도 김해시 호계로 374
124,경남 창원시 진해구,경남본부,(주)항만엘엔지,51609,경상남도 창원시 진해구 신항로 434 (안골동)
125,대구 서구,대구광역본부,대성에너지(주) 상리CNG충전소,41700,대구광역시 서구 가르뱅이로10길 31
126,광주 동구,광주광역본부,(주)해양에너지 월남 CNG충전소,61513,광주광역시 동구 남문로 333
127,전남 나주시,광주광역본부,나주씨엔지스테이션,58276,전라남도 나주시 왕곡면 영산포로 30-9
128,대전 유성구,대전광역본부,씨엔씨티에너지(주)(원내CNG충전소),34229,대전광역시 유성구 계백로801번길 1
129,경기 남양주시,경기북부지사,(주)대원운수 차산리CNG충전소,12197,경기도 남양주시 화도읍 수레로1092번길 5-4
130,충남 천안시 서북구,충남본부,(유)도솔공영에너지-성성동CNG충전소,31078,충청남도 천안시 서북구 공단로 78-15
131,충남 천안시 서북구,충남본부,(유)도솔공영에너지-신당동CNG충전소,31083,충청남도 천안시 서북구 천일고1길 48 보성여객
132,부산 북구,부산북부지사,삼진그린에너지(주),46510,부산광역시 북구 금곡대로 730
133,부산 금정구,부산북부지사,(주)엑스티루브 회동CNG충전소,46259,부산광역시 금정구 개좌로 222 (회동동)
134,경기 부천시 오정구,경기서부지사,(주)삼천리이엔지 오정CNG충전소,14400,경기도 부천시 오정구 벌말로 43
135,인천 연수구,인천본부,인천교통공사 송도CNG충전소,22014,인천광역시 연수구 아카데미로51번길 42(송도동) 13-44
136,인천 서구,인천본부,은혜천연가스(주)원창CNG충전소,22770,인천광역시 서구 원창로89번길 34
137,경기 용인시 처인구,경기동부지사,(주)삼천리에버랜드CNG충전소,17023,경기도 용인시 처인구 포곡읍 곡현로 74 사무동
138,경기 용인시 처인구,경기동부지사,(주)대원고속 용인CNG충전소,17024,경기도 용인시 처인구 포곡읍 석성로850번길 1
139,경기 고양시 덕양구,경기중부지사,서울씨엔지(주),10547,경기도 고양시 덕양구 서오릉로 540-42 용두CNG충전소
140,경기 고양시 일산동구,경기중부지사,일산CNG충전소,10316,경기도 고양시 일산동구 견달산로 246
141,강원 원주시,강원광역본부,장양리고정식CNG충전소,26307,강원도 원주시 소초면 북원로 3118-1
