일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/10/26","71100","900","1.28","70600","71500","70400","10528252","746412840225","424451539305000","5969782550"
"2021/10/25","70200","-200","-0.28","69900","70600","69500","10029621","702792157900","419078735010000","5969782550"
"2021/10/22","70400","200","0.28","70000","70700","70000","8395448","590534144700","420272691520000","5969782550"
"2021/10/21","70200","-100","-0.14","70300","70600","70000","10891094","766060174200","419078735010000","5969782550"
"2021/10/20","70300","-300","-0.42","70700","71000","70200","10151638","715666115800","419675713265000","5969782550"
"2021/10/19","70600","400","0.57","70800","71000","70400","9507991","671983122600","421466648030000","5969782550"
"2021/10/18","70200","100","0.14","70200","70300","69200","13486391","942009349900","419078735010000","5969782550"
"2021/10/15","70100","700","1.01","70200","71000","70000","18051612","1270264426455","418481756755000","5969782550"
"2021/10/14","69400","600","0.87","69000","69800","68800","19520641","1352533826700","414302908970000","5969782550"
"2021/10/13","68800","-200","-0.29","68700","69600","68300","24172015","1670335641584","410721039440000","5969782550"
"2021/10/12","69000","-2500","-3.50","70700","70900","68700","31001484","2151234190950","411914995950000","5969782550"
"2021/10/08","71500","-100","-0.14","72300","72400","71500","14043287","1009009438500","426839452325000","5969782550"
"2021/10/07","71600","300","0.42","71600","72100","71300","13683532","981528388448","427436430580000","5969782550"
"2021/10/06","71300","-900","-1.25","72600","72800","71200","18956962","1361134080400","425645495815000","5969782550"
"2021/10/05","72200","-1000","-1.37","73000","73000","71400","24013921","1729663019790","431018300110000","5969782550"
"2021/10/01","73200","-900","-1.21","73900","74000","72900","15803395","1157440977580","436988082660000","5969782550"
"2021/09/30","74100","0","0.00","74300","74800","73700","19919361","1478002111149","442360886955000","5969782550"
"2021/09/29","74100","-2200","-2.88","74800","75300","73800","23992458","1783148126490","442360886955000","5969782550"
"2021/09/28","76300","-1400","-1.80","77700","77800","76200","15406382","1182788461030","455494408565000","5969782550"
"2021/09/27","77700","400","0.52","77300","77700","77000","11699798","906520162508","463852104135000","5969782550"
"2021/09/24","77300","-100","-0.13","77600","77700","77100","12247274","947458981757","461464191115000","5969782550"
"2021/09/23","77400","200","0.26","77500","77600","76800","17055590","1318209157168","462061169370000","5969782550"
"2021/09/17","77200","1100","1.45","76300","77200","75900","16289502","1250677861383","460867212860000","5969782550"
"2021/09/16","76100","-900","-1.17","77300","77400","76100","13067622","1000180664750","454300452055000","5969782550"
"2021/09/15","77000","400","0.52","77400","77400","76400","12829128","987846688544","459673256350000","5969782550"
"2021/09/14","76600","300","0.39","77100","77700","76600","18167057","1404205788220","457285343330000","5969782550"
"2021/09/13","76300","1000","1.33","75200","76300","75100","11397775","865368373800","455494408565000","5969782550"
"2021/09/10","75300","0","0.00","75300","75600","74800","10103212","760038461600","449524626015000","5969782550"
"2021/09/09","75300","-1000","-1.31","76400","76600","75000","17600770","1329972274100","449524626015000","5969782550"
"2021/09/08","76300","200","0.26","76000","76400","75600","11798147","897864198600","455494408565000","5969782550"
"2021/09/07","76100","-1200","-1.55","77100","77100","75900","13239401","1008596148650","454300452055000","5969782550"
"2021/09/06","77300","700","0.91","76800","77600","76600","12861180","993041466900","461464191115000","5969782550"
"2021/09/03","76600","600","0.79","76400","76700","76000","12096419","925331114200","457285343330000","5969782550"
"2021/09/02","76000","-800","-1.04","76800","76800","75700","15347486","1168535621773","453703473800000","5969782550"
"2021/09/01","76800","100","0.13","76700","77100","75900","16114775","1233406384400","458479299840000","5969782550"
"2021/08/31","76700","2100","2.82","74900","76700","74300","24630370","1864084402507","457882321585000","5969782550"
"2021/08/30","74600","300","0.40","75400","75500","74200","12686999","945673383900","445345778230000","5969782550"
"2021/08/27","74300","-300","-0.40","74300","75000","73800","15172748","1128028045800","443554843465000","5969782550"
"2021/08/26","74600","-1100","-1.45","76100","76200","74600","16671494","1254628461500","445345778230000","5969782550"
"2021/08/25","75700","100","0.13","76200","76600","74900","22319664","1688297846500","451912539035000","5969782550"
"2021/08/24","75600","2300","3.14","73900","75700","73900","21016913","1574547628640","451315560780000","5969782550"
"2021/08/23","73300","600","0.83","73300","74000","73000","19384648","1424674875510","437585060915000","5969782550"
"2021/08/20","72700","-400","-0.55","73500","73900","72500","22364803","1633795697700","434003191385000","5969782550"
"2021/08/19","73100","-800","-1.08","73500","74400","73100","22166298","1630828844000","436391104405000","5969782550"
"2021/08/18","73900","-300","-0.40","73900","74600","73100","29192631","2156728137400","441166930445000","5969782550"
"2021/08/17","74200","-200","-0.27","74000","75100","74000","30944847","2304422906794","442957865210000","5969782550"
"2021/08/13","74400","-2600","-3.38","75800","76000","74100","61270643","4575267536355","444151821720000","5969782550"
"2021/08/12","77000","-1500","-1.91","77100","78200","76900","42365223","3276635421700","459673256350000","5969782550"
"2021/08/11","78500","-1700","-2.12","79600","79800","78500","30241137","2389977254924","468627930175000","5969782550"
"2021/08/10","80200","-1300","-1.60","82300","82400","80100","20362639","1643107615500","478776560510000","5969782550"
"2021/08/09","81500","0","0.00","81500","82300","80900","15522581","1267668377900","486537277825000","5969782550"
"2021/08/06","81500","-600","-0.73","81900","82500","81300","13342623","1090225883400","486537277825000","5969782550"
"2021/08/05","82100","-800","-0.97","83300","83300","82000","18485469","1526103630900","490119147355000","5969782550"
"2021/08/04","82900","1500","1.84","82200","83100","81800","25642368","2117643006850","494894973395000","5969782550"
"2021/08/03","81400","2100","2.65","79400","81400","79300","24339360","1966480433000","485940299570000","5969782550"
"2021/08/02","79300","800","1.02","79200","79500","78700","11739124","929153637896","473403756215000","5969782550"
"2021/07/30","78500","-500","-0.63","78900","78900","78500","13823411","1086488907610","468627930175000","5969782550"
"2021/07/29","79000","-200","-0.25","78800","79400","78800","14360453","1134761032300","471612821450000","5969782550"
"2021/07/28","79200","700","0.89","78300","79200","78100","12743417","1000757015703","472806777960000","5969782550"
"2021/07/27","78500","-300","-0.38","79200","79400","78500","11427693","900948843000","468627930175000","5969782550"
"2021/07/26","78800","-500","-0.63","79400","79500","78800","10040975","792954940200","470418864940000","5969782550"
"2021/07/23","79300","-400","-0.50","79700","79900","79200","9098910","723397885611","473403756215000","5969782550"
"2021/07/22","79700","1200","1.53","79000","79800","78900","12618790","1003545619247","475791669235000","5969782550"
"2021/07/21","78500","-500","-0.63","79000","79100","78500","12355296","971439241800","468627930175000","5969782550"
"2021/07/20","79000","0","0.00","78500","79000","78400","12456646","979765694400","471612821450000","5969782550"
"2021/07/19","79000","-800","-1.00","79100","79200","78800","13155414","1039019131200","471612821450000","5969782550"
"2021/07/16","79800","-800","-0.99","80100","80100","79500","10859399","865953289940","476388647490000","5969782550"
"2021/07/15","80600","1100","1.38","79800","80600","79500","13766279","1102123440533","481164473530000","5969782550"
"2021/07/14","79500","-300","-0.38","79400","79600","79100","11575636","918601137185","474597712725000","5969782550"
"2021/07/13","79800","100","0.13","80000","80200","79800","9863450","788804172500","476388647490000","5969782550"
"2021/07/12","79700","300","0.38","79900","80000","79500","9768108","779142132784","475791669235000","5969782550"
"2021/07/09","79400","-500","-0.63","79600","79800","79000","22720577","1801821474504","474000734470000","5969782550"
"2021/07/08","79900","-900","-1.11","81100","81200","79900","16660998","1338741304400","476985625745000","5969782550"
"2021/07/07","80800","-400","-0.49","81200","81300","80300","15992202","1289550531000","482358430040000","5969782550"
"2021/07/06","81200","800","1.00","80600","81200","80500","12131651","982536524900","484746343060000","5969782550"
"2021/07/05","80400","400","0.50","80100","80800","80000","8330969","670345813400","479970517020000","5969782550"
"2021/07/02","80000","-100","-0.12","80000","80400","79900","8753097","701206526029","477582604000000","5969782550"
"2021/07/01","80100","-600","-0.74","80500","80600","80000","13382882","1073188213795","478179582255000","5969782550"
"2021/06/30","80700","-300","-0.37","81100","81400","80700","13288643","1075902355151","481761451785000","5969782550"
"2021/06/29","81000","-900","-1.10","81900","82100","80800","15744317","1277813841567","483552386550000","5969782550"
"2021/06/28","81900","300","0.37","81700","82000","81600","11578529","946992165410","488925190845000","5969782550"
"2021/06/25","81600","400","0.49","81500","81900","81200","13481405","1099148742353","487134256080000","5969782550"
"2021/06/24","81200","1100","1.37","80400","81400","80100","18771080","1515729920909","484746343060000","5969782550"
"2021/06/23","80100","100","0.13","80500","80600","79900","13856548","1110045011672","478179582255000","5969782550"
"2021/06/22","80000","100","0.13","80200","80300","79900","11773365","942656966106","477582604000000","5969782550"
"2021/06/21","79900","-600","-0.75","79700","80000","79600","16063340","1282081340900","476985625745000","5969782550"
"2021/06/18","80500","-400","-0.49","81100","81100","80500","14916721","1202369230300","480567495275000","5969782550"
"2021/06/17","80900","-900","-1.10","81100","81300","80700","14007385","1132293020100","482955408295000","5969782550"
"2021/06/16","81800","900","1.11","81500","81900","81100","14999855","1223108169181","488328212590000","5969782550"
"2021/06/15","80900","400","0.50","80900","81200","80600","10075685","814156162500","482955408295000","5969782550"
"2021/06/14","80500","-500","-0.62","80800","80900","80500","10550078","850453174124","480567495275000","5969782550"
"2021/06/11","81000","0","0.00","81200","81700","80700","14087962","1142077783332","483552386550000","5969782550"
"2021/06/10","81000","-100","-0.12","81300","81400","80900","17586995","1426082429800","483552386550000","5969782550"
"2021/06/09","81100","-800","-0.98","81500","82000","81100","14908823","1214345795800","484149364805000","5969782550"
"2021/06/08","81900","0","0.00","82300","82600","81800","12781226","1049384778500","488925190845000","5969782550"
"2021/06/07","81900","-300","-0.36","82700","82800","81600","16496197","1353520859143","488925190845000","5969782550"
"2021/06/04","82200","-600","-0.72","82700","82700","81500","18112259","1487791197200","490716125610000","5969782550"
"2021/06/03","82800","2000","2.48","81300","83000","81100","29546007","2438122987382","494297995140000","5969782550"
"2021/06/02","80800","200","0.25","80400","81400","80300","16414644","1327714187652","482358430040000","5969782550"
"2021/06/01","80600","100","0.12","80500","81300","80100","14058401","1135461759600","481164473530000","5969782550"
"2021/05/31","80500","400","0.50","80300","80600","79600","13321324","1065281026200","480567495275000","5969782550"
"2021/05/28","80100","500","0.63","79800","80400","79400","12360199","988665902752","478179582255000","5969782550"
"2021/05/27","79600","-200","-0.25","80000","80000","79100","23198510","1845463410840","475194690980000","5969782550"
"2021/05/26","79800","-100","-0.13","80400","80500","79700","11984359","959016261770","476388647490000","5969782550"
"2021/05/25","79900","200","0.25","80000","80400","79800","13628942","1091584785700","476985625745000","5969782550"
"2021/05/24","79700","-400","-0.50","80100","80400","79500","13398666","1069031356223","475791669235000","5969782550"
"2021/05/21","80100","600","0.75","80100","81500","79800","20961714","1687345199300","478179582255000","5969782550"
"2021/05/20","79500","-100","-0.13","79400","79700","79100","16541828","1314426651400","474597712725000","5969782550"
"2021/05/18","79600","0","0.00","79600","80000","79100","17494407","1393769049380","475194690980000","5969782550"
"2021/05/17","79600","-500","-0.62","80800","80900","79200","17740855","1414228804206","475194690980000","5969782550"
"2021/05/14","80100","1600","2.04","79000","80300","78900","16450920","1313024424300","478179582255000","5969782550"
"2021/05/13","78500","-1500","-1.88","78900","79600","78400","31490096","2482903301914","468627930175000","5969782550"
"2021/05/12","80000","-1200","-1.48","80800","81200","79800","35812268","2876601949600","477582604000000","5969782550"
"2021/05/11","81200","-2000","-2.40","82500","82600","81100","28996680","2365998053700","484746343060000","5969782550"
"2021/05/10","83200","1300","1.59","82300","83500","81800","19385027","1603729206300","496685908160000","5969782550"
"2021/05/07","81900","-400","-0.49","81800","82100","81500","14154882","1158685043300","488925190845000","5969782550"
"2021/05/06","82300","-300","-0.36","81700","82300","81700","17047511","1397109294200","491313103865000","5969782550"
"2021/05/04","82600","900","1.10","81900","82600","81800","12532550","1030147174860","493104038630000","5969782550"
"2021/05/03","81700","200","0.25","81000","82400","81000","15710336","1284767138340","487731234335000","5969782550"
"2021/04/30","81500","-200","-0.24","81900","82100","81500","18673197","1525090284512","486537277825000","5969782550"
"2021/04/29","81700","-400","-0.49","82400","82500","81500","20000973","1638811445660","487731234335000","5969782550"
"2021/04/28","82100","-800","-0.97","83200","83200","82100","15596759","1284554388615","490119147355000","5969782550"
"2021/04/27","82900","-600","-0.72","83200","83300","82500","12941533","1071381962500","494894973395000","5969782550"
"2021/04/26","83500","700","0.85","82900","83500","82600","15489938","1286360030996","498476842925000","5969782550"
"2021/04/23","82800","400","0.49","81900","82900","81600","17805080","1464208204100","494297995140000","5969782550"
"2021/04/22","82400","-200","-0.24","82900","83000","82400","13934746","1151303986200","491910082120000","5969782550"
"2021/04/21","82600","-1300","-1.55","83300","83500","82500","21636079","1792608597200","493104038630000","5969782550"
"2021/04/20","83900","600","0.72","83300","84000","83100","15521965","1298185983040","500864755945000","5969782550"
"2021/04/19","83300","-600","-0.72","83800","84000","83300","15287311","1277281507900","497282886415000","5969782550"
"2021/04/16","83900","-200","-0.24","84700","84700","83600","15429522","1294516674200","500864755945000","5969782550"
"2021/04/15","84100","100","0.12","83700","84500","83400","16377412","1375438313400","502058712455000","5969782550"
"2021/04/14","84000","0","0.00","84000","84300","83400","13794652","1156326758700","501461734200000","5969782550"
"2021/04/13","84000","800","0.96","83000","84500","82800","15238206","1276903128038","501461734200000","5969782550"
"2021/04/12","83200","-400","-0.48","84100","84100","83100","12915282","1078274477112","496685908160000","5969782550"
"2021/04/09","83600","-1100","-1.30","84700","84900","83400","18193707","1527078831700","499073821180000","5969782550"
"2021/04/08","84700","-900","-1.05","85700","85700","84100","19244259","1629938227200","505640581985000","5969782550"
"2021/04/07","85600","-400","-0.47","86100","86200","85400","17885538","1532760739551","511013386280000","5969782550"
"2021/04/06","86000","600","0.70","86200","86200","85100","19042023","1633460653000","513401299300000","5969782550"
"2021/04/05","85400","600","0.71","85800","86000","84800","16255990","1385160353200","509819429770000","5969782550"
"2021/04/02","84800","1900","2.29","84000","85200","83900","22997538","1947586897500","506237560240000","5969782550"
"2021/04/01","82900","1500","1.84","82500","83000","82000","18676461","1542484638200","494894973395000","5969782550"
"2021/03/31","81400","-800","-0.97","82400","82700","81400","17240518","1413779202400","485940299570000","5969782550"
"2021/03/30","82200","600","0.74","81600","82300","81300","13121698","1074968693016","490716125610000","5969782550"
"2021/03/29","81600","100","0.12","81700","81700","81000","14952134","1216567675700","487134256080000","5969782550"
"2021/03/26","81500","300","0.37","81400","81600","81000","12845778","1044261903000","486537277825000","5969782550"
"2021/03/25","81200","200","0.25","81000","82100","80800","14758826","1200699288823","484746343060000","5969782550"
"2021/03/24","81000","-800","-0.98","81000","81600","80700","17926638","1454204203800","483552386550000","5969782550"
"2021/03/23","81800","-200","-0.24","82600","82900","81800","13299907","1092867144552","488328212590000","5969782550"
"2021/03/22","82000","100","0.12","82000","82300","81700","12670506","1039543136201","489522169100000","5969782550"
"2021/03/19","81900","-1000","-1.21","82100","82500","81800","15869700","1301953467700","488925190845000","5969782550"
"2021/03/18","82900","600","0.73","82800","83800","82600","18585244","1545980791426","494894973395000","5969782550"
"2021/03/17","82300","-500","-0.60","82800","82900","82000","11625146","957444384952","491313103865000","5969782550"
"2021/03/16","82800","1000","1.22","82200","83000","82100","12293537","1014280956368","494297995140000","5969782550"
"2021/03/15","81800","-1000","-1.21","82800","82900","81800","13735798","1128533403400","488328212590000","5969782550"
"2021/03/12","82800","800","0.98","83100","83500","82400","13530573","1121128514600","494297995140000","5969782550"
"2021/03/11","82000","1100","1.36","81000","82500","81000","23818297","1952164587512","489522169100000","5969782550"
"2021/03/10","80900","-500","-0.61","82400","82500","80700","20038422","1632812662321","482955408295000","5969782550"
"2021/03/09","81400","-600","-0.73","81400","81900","80600","25420764","2066544317650","485940299570000","5969782550"
"2021/03/08","82000","-100","-0.12","82900","83000","81600","17641256","1448480913600","489522169100000","5969782550"
"2021/03/05","82100","-300","-0.36","81100","82600","81100","20508971","1677602868700","490119147355000","5969782550"
"2021/03/04","82400","-1600","-1.90","82600","83200","82200","24348331","2010257798200","491910082120000","5969782550"
"2021/03/03","84000","400","0.48","83500","84000","82800","19882132","1659122458768","501461734200000","5969782550"
"2021/03/02","83600","1100","1.33","85100","85300","83000","33498180","2823604648915","499073821180000","5969782550"
"2021/02/26","82500","-2800","-3.28","82800","83400","82000","38520800","3175845143233","492507060375000","5969782550"
"2021/02/25","85300","3300","4.02","84000","85400","83000","34155986","2880259491180","509222451515000","5969782550"
"2021/02/24","82000","0","0.00","81800","83600","81300","26807651","2208585141393","489522169100000","5969782550"
